# 從《墨子引得》謄錄出來
韋	3/37853
音	3/01982
風	2/81262
飛	2/11210
首	3/91283
食	2/90092
香	3/26882
亳	3/01811
?	1/20602
修	5/90220
俯	5/90030
俿	5/90710
倅	5/90030
俱	5/90394
俾	5/90234
倉	2/90083
倖	5/90330
倍	5/90031
候	5/90290
倚	5/90321
倦	5/90610
倪	5/90810
榆	5/90923
倮	5/90864
兼	2/90755
冥	3/02892
清	5/01522
凌	5/01340
凍	5/01564
剝	5/26220
剔	5/82222
剡	5/69220
乘	1/20600
原	4/12262
叟	3/88840
員	3/88894
哭	3/88392
哲	3/52881
唐	4/02535
圂	2/88760
圃	2/88524
埆	5/37224
埋	5/37874
?	5/37500
?	5/37960		[土人未]
?	5/37952		[土弟]
夏	3/72843
奚	3/22690
娛	5/34292
孫	5/13260
宮	3/02882
宰	3/02030
害	3/02581
宵	3/02622
家	3/02760
容	3/02981
?	3/02140
射	5/22303
屑	4/82623
差	3/91370
師	5/28732
席	4/02331
庫	4/02504
庭	4/02140
弱	5/12120
徑	5/29170
徒	5/29390
悅	5/60911
恐	3/71010
恕	3/38011
恚	3/37310
恣	3/19010
恭	3/37901
息	3/28013
悌	5/60952
悖	5/60330
悝	5/60874
扇	4/22120
挈	3/52250
挨	5/50690
挫	5/50970
振	5/50890
捆	5/50880
挺	5/50140
挻	5/50140
挾	5/50390
捕	5/50524
效	5/04940
𣁋	5/21940
旁	3/01920
旂	5/02920
旄	5/02910
旅	5/02990
時	5/88332
晉	3/12883
晏	3/88042
書	3/57884
朔	5/93822
朕	5/82992
栗	3/78364
校	5/36040
株	5/36260
根	5/36892
格	5/36281
桀	3/25361
桃	5/36010
桐	5/36821
案	3/02360
桑	3/84860
桓	5/36112
殉	5/72222
殊	5/72260
殷	5/22842
氣	4/90110
清	5/01281
浴	5/01981
海	5/01950
浸	5/01140
涂	5/01960
沙	5/01220
涕	5/01952
流	5/01010
涓	5/01823
烏	2/22601
烝	3/11600
烟	5/69880
牂	5/27950
特	5/25330
牷	5/25970
狶	5/42430
狹	5/42390
茲	5/06060
珠	5/77260
珪	5/77370
珮	5/77810
